id,model,price,ram,cpu,weight,layer
893,Asus VivoBook L402NA,348,4,1.1,1.65,8
894,Lenovo IdeaPad 510-15ISK,669,8,2.5,2.2,7
895,Dell Inspiron 3552,369,4,1.6,2.2,8
896,HP EliteBook x360,1799,4,2.5,1.28,9
897,Dell Vostro 3568,455.7,4,2,2.18,11
898,Asus Rog GL753VD-GC082T,1369.9,12,2.5,2.2,3
899,Acer Chromebook C731-C78G,297,4,1.6,1.25,3
900,Lenovo IdeaPad 110-17ACL,379,4,2.2,2.8,3
901,HP Probook 640,1265,4,2.5,1.95,13
902,HP Envy x360,1399,16,2.7,1.42,1
903,Samsung Notebook 9,1699,8,2.7,1.17,2
904,Lenovo ThinkPad T470s,1799,8,2.5,1.32,9
905,MSI GS73VR Stealth,2649,16,2.6,2.43,11
906,Toshiba Portege X30-D-10V,1475,8,2.5,1.05,2
908,Dell Inspiron 7567,929,8,2.8,2.62,7
909,HP ProBook 450,900,8,2.7,2.04,5
910,Dell Vostro 3568,614,4,2,2.18,16
911,Dell Latitude 5580,935,8,2.6,1.9,4
912,Dell XPS 13,2013.1,8,1.3,1.24,11
913,Asus G701VO-IH74K (i7-6820HK/32GB/2x,1279,32,2.7,3.58,1
914,Dell XPS 13,1649,16,1.3,1.22,2
915,Lenovo ThinkPad X1,2049,8,2.7,1.13,5
916,Lenovo ThinkPad T570,1962.99,8,2.5,1.95,14
917,LG Gram 15Z970,2099,16,2.7,1.08,3
918,HP Elitebook 820,1483,8,2.7,1.26,3
919,Acer Chromebook CB5-571-C1DZ,359,4,1.5,2.2,9
920,Lenovo IdeaPad Y700-15ISK,789,8,2.3,2.6,13
922,LG Gram 14Z970,1899,8,2.7,0.98,2
923,Dell Latitude 5480,1205,8,2.8,1.6,2
924,HP Elitebook Folio,3100,8,1.2,1.09,6
925,Lenovo IdeaPad 510-15IKB,789,6,2.7,2.2,9
926,HP ProBook 450,1018.99,8,2.7,2.04,7
927,Acer Aspire E5-575,499,4,2.4,2.4,11
928,Lenovo ThinkPad 13,881,4,2.5,1.44,2
930,HP Probook 430,960,8,2.5,1.49,4
931,MSI GE72VR 6RF,1599,16,2.8,2.7,8
932,Dell Inspiron 7567,1349,16,2.8,2.6,4
933,MSI GL62M 7RD,1119.91,8,2.5,2.2,19
934,Dell Vostro 3568,684.99,4,2.5,2.18,15
935,HP EliteBook 850,1296.99,8,2.5,1.84,11
936,HP Envy 13-AB077cl,1149,8,2.7,1.39,4
937,Toshiba Tecra Z50-C-140,1975,16,2.6,2.4,7
938,Lenovo ThinkPad Yoga,1825,8,2.5,1.37,10
939,Dell Latitude 3580,729.9,4,2.3,1.95,10
940,Lenovo Thinkpad X270,1650,8,2.7,1.36,6
941,HP Probook 650,1165,8,2.3,2.31,20
942,Dell Vostro 3568,708.06,4,2.5,2.18,16
943,HP ProBook 640,1149,4,2.3,1.95,12
944,Lenovo IdeaPad 320-15IAP,309,4,1.1,2.2,10
945,HP EliteBook 820,1579,4,2.3,1.26,8
946,HP 250 G6,288.9,4,1.6,1.86,4
947,Lenovo Yoga 900-13ISK,1799,16,2.2,1.3,4
948,Toshiba Tecra Z40-C-12X,1105,4,2.3,1.47,5
949,HP EliteBook 820,1669,8,2.3,1.26,7
950,Dell Vostro 3568,558.6,4,2,2.18,15
951,MSI GP62M Leopard,1199,8,2.8,2.2,7
952,Dell Latitude 7480,1639,8,2.5,1.36,8
953,Dell Alienware 17,2758,16,2.7,4.36,18
954,HP Omen 17-W006na,1399,8,2.3,2.75,23
955,Asus X751SV-TY001T (N3710/4GB/1TB/GeForce,530,4,1.6,2.8,21
956,Acer TravelMate P259-G2,619,4,2.5,2.23,15
957,Toshiba Tecra A50-C-1ZV,1119,8,2.3,2.2,19
958,Lenovo Yoga 700-11ISK,1299,8,1.2,1.1,4
959,Lenovo IdeaPad Y700-15ACZ,999,16,2.1,2.5,3
960,Dell Latitude 7280,1472.2,8,2.5,1.36,7
961,Lenovo IdeaPad 310-15IKB,685,8,2.7,2.2,5
962,Dell Insprion 5767,659,4,2,2.36,21
963,Acer Chromebook 14,349,4,1.6,1.68,6
964,HP ZBook Studio,2249,8,2.7,2,14
965,Dell Latitude 7480,1775,8,2.8,1.36,2
966,Toshiba Portege Z30-C-1CW,1460,8,2.3,1.2,5
967,Asus Chromebook Flip,1159,8,1.2,1.2,5
968,Lenovo Thinkpad T460,1488.99,8,2.6,1.7,7
969,Dell Alienware 17,3154,16,2.8,4.36,18
970,Dell XPS 13,1899,8,1.2,1.24,11
971,HP ProBook x360,775,4,1.1,1.45,10
972,Dell XPS 13,1268,8,2.5,1.3,4
973,Acer Chromebook C738T-C2EJ,389,4,1.6,1.25,5
974,Toshiba Portege Z30-C-16Z,1535,8,2.4,1.2,5
975,Lenovo ThinkPad X270,1760,8,2.6,1.36,8
976,Acer Aspire F5-573G-510L,1009,12,2.5,2.4,4
977,Toshiba Portege X20W-D-10V,1790,8,2.7,1.1,3
978,HP ProBook 450,846.5,8,2.5,2.04,10
979,Dell Inspiron 3567,465.62,4,2,2.25,13
980,Dell Latitude 5580,825,4,2.5,1.9,10
981,HP ProBook 450,685,4,2.4,2.04,13
982,Dell Alienware 17,3149,32,2.8,4.42,4
983,Lenovo IdeaPad 310-15IKB,695,6,2.5,2.4,9
984,Dell XPS 13,1899,16,1.3,1.22,4
985,Dell Latitude E7470,1962.98,8,2.6,1.5,10
986,Dell Alienware 17,2800,32,2.6,4.42,3
987,Toshiba Tecra A40-C-1DF,1180,8,2.3,1.95,11
988,Asus Rog Strix,2049.9,16,2.8,2.73,9
989,HP Probook 450,979,8,2.7,2.04,6
990,Lenovo ThinkPad T460,1002,4,2.3,1.7,8
991,Asus Q534UX-BHI7T19 (i7-7500U/16GB/2TB,1799,16,2.7,2.3,5
992,HP 15-bs053od (i7-7500U/6GB/1TB/W10),579,6,2.7,2.04,2
993,Asus Rog GL753VE-DS74,1749,16,2.8,2.99,9
994,Dell Inspiron 7579,1299,12,2.7,2.19,2
995,Toshiba Portege Z30-C-1CV,1195,4,2.3,1.2,4
996,Lenovo IdeaPad 320-15ABR,549,6,3.6,2.2,2
997,Fujitsu LifeBook A556,649,4,2.3,2.3,17
998,Toshiba Tecra A40-C-1KF,915,4,2.3,1.75,5
999,Dell Inspiron 3567,599,4,2.5,2.25,14
1000,HP Probook 450,806,8,2.5,2.04,9
1001,Lenovo Legion Y520-15IKBN,1189,8,2.8,2.5,11
1002,Dell Inspiron 5567,749,8,2.7,2.36,8
1003,Dell Latitude 5480,1119,8,2.5,1.6,7
1004,HP EliteBook Folio,1908,8,1.2,0.97,4
1005,HP 15-bs005nv (i3-6006U/4GB/1TB,499,4,2,2.1,14
1006,Lenovo V110-15IAP (N3350/4GB/128GB/No,270.62,4,1.1,1.9,5
1007,Lenovo ThinkPad T560,1349,8,2.3,2.3,20
1008,Dell Inspiron 5378,889,8,2.5,1.68,4
1009,Asus ZenBook UX310UA-FB485T,1150,8,2.5,1.4,5
1010,HP Spectre 13-V111dx,1349,8,2.7,1.11,1
1011,Acer Aspire ES1-533,380,4,1.1,2.4,15
1012,Asus Rog GL553VE-DS74,1799,16,2.8,2.5,7
1013,HP EliteBook 840,2089,8,2.7,1.48,12
1014,Acer Nitro 5,1260,8,2.8,2.7,14
1015,HP ENVY -,1189,8,2.5,1.34,4
1016,Dell Vostro 3568,547,4,2.4,2.18,12
1017,HP Probook 440,779,4,2.5,1.64,3
1018,Toshiba Portege Z30-C-16H,1195,4,2.3,1.2,4
1019,HP EliteBook 840,1099.99,4,2.4,1.48,4
1020,HP ProBook 640,1205,4,2.5,1.95,12
1021,HP EliteBook 1040,1449,8,2.6,1.43,5
1022,HP ProBook 440,1049.26,8,2.5,1.64,7
1023,HP Probook 440,684,4,2.4,1.64,3
1024,Dell Inspiron 7567,949,8,2.5,2.65,20
1025,HP EliteBook 820,1539,4,2.5,1.26,6
1026,HP Elitebook 840,1590,4,2.5,1.48,9
1027,HP EliteBook 840,1887.21,8,2.5,1.54,12
1028,HP Probook 430,800,4,2.4,1.49,3
1029,Toshiba Portege A30-C-1CZ,1210,8,2.3,1.5,7
1030,HP ProBook 450,769.99,4,2.4,2.04,14
1031,Lenovo ThinkPad P70,2968,16,2.7,2.4,10
1032,Toshiba Tecra Z40-C-12Z,1490,8,2.3,1.47,8
1033,HP EliteBook 1040,2229,8,2.5,1.43,12
1034,Dell Inspiron 5568,795.99,4,2.3,2.08,15
1035,Toshiba Portégé Z30-C-16K,1590,8,2.3,1.2,6
1036,HP Spectre 13-V100nv,1149,8,2.5,1.11,3
1037,HP ProBook 440,1185.43,8,2.7,1.64,5
1038,Dell Latitude E5570,1046.44,8,2.4,2.09,14
1039,HP Elitebook 820,1559,4,2.5,1.26,7
1040,HP ProBook 650,1189,4,2.5,2.31,20
1041,HP ProBook 640,1060,4,2.5,1.95,11
1042,Dell XPS 13,1624,8,2.5,1.29,7
1043,HP Probook 470,1080,8,2.5,2.63,20
1044,HP ProBook 440,973,4,2.5,1.64,6
1045,Acer Aspire 3,409,6,3,2.1,1
1046,MSI GL72M 7RDX,1191.8,8,2.8,2.7,12
1047,HP Probook 640,1195,8,2.3,1.95,12
1048,HP EliteBook 850,1228.99,8,2.5,1.84,10
1049,HP EliteBook 820,1349,8,2.5,1.26,5
1050,HP ProBook 450,742,4,2.5,2.04,12
1051,Toshiba Tecra Z40-C-136,1725,8,2.6,1.47,7
1052,Dell Latitude E5570,1062.95,8,2.4,2.09,15
1053,HP ProBook 440,1010.51,8,2.5,1.64,6
1054,Lenovo Yoga 500-15ISK,847,4,2.5,1.8,4
1055,Vero V142 (X5-Z8350/2GB/32GB/W10),210.8,2,1.44,1.45,2
1056,Toshiba Tecra A50-C-218,1425,16,2.5,2.4,6
1057,Lenovo Thinkpad L560,1049.6,8,2.3,2.3,17
1058,HP EliteBook 840,1000,4,2.3,1.54,6
1059,HP EliteBook 850,2103.34,8,2.4,1.84,15
1060,HP EliteBook 1040,1469,8,2.3,1.43,7
1061,MSI GT72S Dominator,1545.64,16,2.7,3.78,8
1062,Lenovo IdeaPad Y900-17ISK,2289.99,16,2.6,4.6,14
1063,Asus Chromebook C202SA,287.9,4,1.6,1.2,2
1064,Lenovo ThinkPad X1,2620,16,2.6,1.1,5
1065,HP Noteb Pav,979,8,2.7,1.91,4
1066,Dell Inspiron 5578,1094,8,2.7,2.3,12
1067,HP ProBook 450,979,4,2.5,2.04,14
1068,Dell XPS 13,2254,16,2.7,1.2,4
1069,HP ProBook 650,705.15,4,2.3,2.31,18
1070,HP 250 G5,499,4,2.5,1.96,9
1071,Acer Aspire ES1-523,449,8,2.2,2.4,2
1072,Dell Inspiron 7378,1299,12,2.7,1.6,1
1073,MSI GT62VR 6RD,1819,16,2.6,2.94,10
1074,HP ProBook 450,1070,8,2.7,2.04,8
1075,Asus Rog G752VL-GC088D,998,16,2.6,4,3
1076,Dell Inspiron 3567,559,4,2.5,2.25,12
1077,Dell Inspiron 5567,989.99,16,2.7,2.32,2
1079,MSI GS63VR 6RF,1929,16,2.6,1.8,6
1080,Dell XPS 13,1458,8,2.7,1.29,3
1081,Asus ROG G701VO,3975,64,2.7,3.58,1
1082,Dell Inspiron 5368,798.01,8,2.5,1.62,2
1083,Dell Alienware 15,1329,16,2.6,3.21,5
1084,Apple ""MacBook 12"""""",1300,8,1.1,0.92,4
1085,Dell Latitude 3570,481.98,4,2.3,2.06,6
1086,HP ProBook 650,1199,4,2.3,2.31,21
1087,HP EliteBook 820,1199,8,2.3,1.26,4
1088,HP ProBook 430,1090,8,2.7,1.49,3
1089,Lenovo ThinkPad Yoga,1713.49,8,2.5,1.3,8
1090,Lenovo IdeaPad 300-17ISK,659,8,2.3,3,9
1091,Lenovo Ideapad 700-15ISK,977,4,2.3,2.3,20
1092,MSI GT72VR Dominator,2499,16,2.8,3.78,15
1093,Lenovo V110-15ISK (i5-6200U/4GB/500GB/W10),540,4,2.3,2.1,12
1094,HP Probook 650,940,4,2.3,2.31,20
1095,Lenovo Yoga 900S-12ISK,1399,8,1.2,0.99,4
1096,Lenovo IdeaPad Y900-17ISK,3240,32,2.7,4.6,5
1097,Lenovo Yoga Book,646.27,4,1.44,0.69,4
1098,HP Spectre x360,2049,16,2.7,1.3,5
1099,Dell Vostro 3568,750,8,2.5,2.18,7
1100,HP EliteBook 840,1030.99,4,2.3,1.54,7
1101,HP ZBook 15u,1495,8,2.5,1.9,13
1102,Lenovo ThinkPad T460,1199,8,2.3,1.7,10
1103,HP Chromebook 13,615,4,1.5,1.29,6
1104,Acer Aspire ES1-523,387,4,2.2,2.4,3
1105,Dell Inspiron 3552,393.49,4,1.6,2.2,9
1106,HP 250 G6,345.99,4,2,1.86,2
1107,Asus Rog GL702VM-GC354T,1599,8,2.8,2.7,19
1108,Dell Inspiron 5370,818.35,4,1.6,1.4,9
1109,HP Elitebook 820,1599,4,2.3,2.4,22
1110,Acer Aspire F5-573G,799,8,2.5,2.4,12
1111,Dell Inspiron 5567,638.8,8,2.5,2.36,7
1112,MSI GS70 Stealth,1599,8,2.6,2.6,16
1113,HP 250 G5,500,4,1.6,1.96,10
1114,Asus G752VY-GC162T (i7-6700HQ/16GB/1TB,2299,16,2.6,4.3,15
1115,Dell Latitude E5270,1135.15,4,2.3,1.5,7
1116,Dell Latitude E5270,1166.97,4,2.3,1.5,8
1117,Acer Chromebook 15,209,4,1.5,2.2,1
1118,HP ZBook 17,2899,8,2.6,3,20
1119,Lenovo Legion Y520-15IKBN,1199,16,2.8,2.4,2
1120,Dell Latitude E5270,1413.1,8,2.3,1.5,8
1121,MSI GE72 Apache,1511.19,8,2.6,2.9,19
1122,Lenovo Yoga 500-15ISK,867,4,2.3,2.1,17
1123,HP 15-bw011nv (A6-9220/4GB/1TB/FHD/W10),398,4,2.5,2.1,3
1124,Asus Rog GL552VW-CN470T,1339,16,2.6,2.59,4
1125,HP EliteBook 1030,1699,8,1.1,1.16,6
1126,Dell Vostro 3559,769.15,4,2.3,2.24,19
1127,Lenovo V110-15ISK (i3-6006U/4GB/128GB/W10),429,4,2,2.1,8
1128,HP Spectre Pro,1969,8,2.5,1.16,6
1129,Lenovo Yoga Book,549,4,1.44,0.69,3
1130,Dell XPS 13,1379,8,2.4,1.23,5
1131,Lenovo IdeaPad Y900-17ISK,2749.99,16,2.7,4.6,19
1132,Razer Blade Stealth,1029,8,2.5,1.25,2
1133,Toshiba Portege X30-D-10K,2226,16,2.7,1.05,3
1134,Asus Rog GL752VW-T4308T,1312.49,8,2.6,3.52,16
1135,Vero V131 (X5-Z8350/4GB/32GB/FHD/W10),196,4,1.44,1.35,1
1136,HP Spectre Pro,1690,8,2.3,1.16,4
1137,HP EliteBook 1040,1513,8,2.3,1.43,9
1138,Dell Latitude E5570,523.63,4,2.3,2.09,11
1139,Asus VivoBook Max,435,4,2.4,2,5
1140,Lenovo ThinkPad Yoga,1669,8,2.5,1.8,13
1141,Lenovo Yoga Book,479,4,1.44,0.69,2
1142,HP EliteBook 820,1895,8,2.4,1.26,7
1143,Lenovo Legion Y520-15IKBN,989,8,2.5,2.4,16
1144,HP Omen -,1129,8,2.3,3.35,23
1145,HP 15-bs078cl (i7-7500U/8GB/2TB/W10),629,8,2.7,2.04,2
1146,Lenovo ThinkPad P40,2050.38,8,2.6,1.8,13
1147,Asus L403NA-GA013TS (N3350/4GB/32GB/W10),278,4,1.1,1.5,4
1148,HP 250 G6,752,8,2.7,1.84,2
1149,Acer Aspire E5-576G,616,4,2.5,2.23,14
1150,Lenovo IdeaPad 500-15ISK,1099,16,2.5,2.5,3
1151,HP ZBook 17,3949.4,8,2.6,3,21
1153,Dell Inspiron 5567,784,8,2.5,2.5,11
1154,MSI GT72S Dominator,2399,16,2.7,3.78,14
1155,HP EliteBook 850,2171.72,8,2.5,1.88,14
1156,Lenovo ThinkPad X1,2440,16,2.6,2.8,12
1157,MSI GP62M 7RDX,1142.8,8,2.8,2.4,5
1160,HP Spectre Pro,1629,8,2.4,1.48,9
1161,HP ZBook 15,2229,8,2.6,2.59,16
1162,HP Spectre Pro,1799,8,2.6,1.48,9
1163,HP ZBook Studio,1899,8,2.6,2,12
1164,HP EliteBook 820,2296.95,8,2.5,1.26,7
1165,Dell Vostro 5568,1009.9,8,2.7,2.18,7
1166,HP EliteBook 850,1579,8,2.3,1.88,13
1167,Lenovo ThinkPad X1,2339,8,2.5,1.27,8
1168,Lenovo V110-15ISK (i3-6006U/4GB/1TB/No,339,4,2,1.9,1
1169,HP 15-BA015wm (E2-7110/4GB/500GB/W10),297,4,1.8,1.86,2
1170,Lenovo B51-80 (i5-6200U/8GB/1TB/Radeon,599,8,2.3,2.32,8
1171,Dell Inspiron 7567,1199,8,2.8,2.62,12
1172,Dell XPS 15,2250.68,8,2.3,2.04,16
1173,HP 15-bw002nv (A6-9220/4GB/256GB/Radeon,478.89,4,2.5,1.91,5
1174,MSI GP72M 7REX,1492.8,16,2.8,2.7,6
1175,Lenovo ThinkPad T460s,2299,12,2.6,1.4,6
1176,Lenovo B51-80 (i5-6200U/8GB/1008GB/Radeon,788.49,8,2.3,2.5,12
1177,HP Spectre Pro,2041,8,2.6,1.48,12
1178,Lenovo ThinkPad T460,1499,8,2.6,1.7,8
1179,MSI GS40 Phantom,1769,16,2.6,1.7,5
1180,HP Pavilion 15-cb003nv,899,8,2.8,2.62,6
1181,Lenovo IdeaPad 310-15ISK,459,8,2,2.2,2
1182,HP 250 G4,476.99,4,2.3,2.1,6
1183,Dell Inspiron 7567,1498,8,2.8,2.62,14
1184,Lenovo ThinkPad T570,1390,8,2.5,1.95,12
1185,Lenovo 320-15ISK (i3-6006U/4GB/1TB/GeForce,468,4,2,2.2,13
1186,HP Stream 14-AX000nv,249,2,1.6,1.44,3
1187,MSI PL60 7RD,839,8,2.7,2.2,10
1188,HP 250 G5,679,8,2.5,1.96,5
1189,HP ProBook 450,1159,16,1.8,2.1,2
1190,Asus X553SA-XX021T (N3050/4GB/500GB/W10),369,4,1.6,2.2,8
1191,Lenovo V110-15ISK (i5-6200U/4GB/500GB/No,398,4,2.3,2.1,4
1192,Lenovo IdeaPad 510-15IKB,709,8,2.7,2.2,6
1193,Asus UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),769,4,2.4,2,13
1194,Lenovo B51-80 (i7-6500U/4GB/1008GB/FHD/W7),825,4,2.5,2.32,18
1195,Lenovo IdeaPad Y700-15ISK,1305,16,2.6,3.31,5
1196,MSI GS60 Ghost,2153.37,16,2.6,1.91,7
1197,HP ProBook 450,650,4,2.3,2.07,12
1198,Lenovo ThinkPad X1,1637,8,2.3,1.36,8
1199,Lenovo IdeaPad 310-15IKB,831,6,2.7,1.54,2
1200,Dell Vostro 5568,895.01,8,2.7,1.98,4
1201,Acer Aspire 3,333,4,2,2.1,2
1202,HP Pavilion 15-BC000nv,799,6,2.6,2.18,4
1203,Asus Rog GL552VW-DM201T,909,8,2.6,2.591,13
1204,Dell Inspiron 5578,1179,16,2.7,2.09,1
1205,Acer Aspire E5-576G,691,4,2.5,2.23,16
1206,Dell XPS 13,1099,8,2.4,1.23,2
1207,Acer Predator G9-793,2599,16,2.8,4.2,17
1208,Lenovo Legion Y520-15IKBN,819,8,2.5,2.4,14
1209,Samsung Chromebook Plus,659,4,2,1.15,1
1210,HP 250 G6,485,4,2.5,1.86,5
1211,Apple ""MacBook 12"""""",1163,8,1.1,0.92,1
1212,Dell Inspiron 7378,1199,8,2.5,1.6,9
1213,HP Pavilion Power,1327,12,2.8,2.21,3
1214,Lenovo V110-15ISK (i3-6006U/4GB/1TB/Radeon,368,4,2,1.9,4
1215,Asus Rog G752VY-GC229T,2150,16,2.6,4.3,13
1216,Acer Aspire 3,272,4,2,2.1,1
1217,MSI GS73VR 7RF,2048.9,16,2.8,2.43,6
1218,Dell Inspiron 5567,499,4,2,2.3,19
1219,Lenovo IdeaPad 310-15ISK,629,8,2.5,2.2,6
1220,Dell Inspiron 5579,1285,16,1.8,2,4
1221,Dell XPS 13,2680,16,2.7,1.2,5
1222,Asus FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,1169,8,2.6,2.2,12
1223,Dell Inspiron 5567,889,8,2.5,2.36,15
1224,HP 15-bs025nv (i5-7200U/8GB/256GB/W10),579,8,2.5,1.91,2
1225,Lenovo IdeaPad 320-15AST,299,4,2.2,2.2,1
1226,Acer Aspire E5-774G,629,8,2,3.3,9
1227,Asus Rog Strix,2449,16,2.8,2.2,9
1228,Apple ""MacBook 12"""""",1279,8,1.2,0.92,3
1229,Asus FX502VM-AS73 (i7-7700HQ/16GB/1TB,1749,16,2.8,2.2,3
1230,MSI GS73VR Stealth,1948.99,16,2.6,2.43,7
1231,Dell Inspiron 7579,999,8,2.5,2.191,14
1232,Asus ROG Strix,1949,16,2.8,2.9,10
1233,Acer C740-C9QX (3205U/2GB/32GB/Chrome,174,2,1.5,1.3,1
1234,Acer E5 774G,598,4,2,3.3,21
1235,Lenovo IdeaPad 320-17IKB,539,8,2.5,2.8,4
1236,Lenovo IdeaPad Y700-15ISK,1272,8,2.6,2.6,15
1237,Acer SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),1149,8,1.3,1.2,4
1238,Lenovo Thinkpad T560,1529,8,2.6,2.3,14
1239,MSI GP62MVR 6RF,1476.11,8,2.6,2.2,13
1240,HP 15-bw009nv (A12-9720P/6GB/1TB/Radeon,529,6,2.7,2.1,2
1241,Dell Latitude E7270,1713.37,8,2.4,1.26,6
1242,Dell Inspiron 5578,509,4,2.4,2.08,10
1243,Asus X540SA-RBPDN09 (N3710/4GB/1TB/W10),309,4,1.6,2.65,6
1244,Dell XPS 13,1477,8,2.7,1.29,4
1245,Dell Vostro 3568,521.86,4,2.5,2.18,11
1246,Lenovo IdeaPad Y700-15ISK,1029,16,2.6,2.6,3
1247,MSI GL62M 7RDX,1149,8,2.8,2.2,5
1248,Lenovo ThinkPad Yoga,1650,16,2.5,1.3,2
1249,Razer Blade Pro,3499,16,2.8,1.95,10
1250,Dell Inspiron 3567,469.01,8,2.4,2.3,3
1251,MSI GE72VR Apache,1598,16,2.8,2.7,7
1252,Apple MacBook Air,959,4,1.6,1.08,1
1253,HP 15-bs023nv (i3-6006U/4GB/1TB/FHD/W10),478,4,2,2.1,12
1254,HP EliteBook 840,2198.19,8,2.5,1.54,13
1255,Dell Vostro 3559,737,4,2.3,2.24,18
1256,MSI GL62 6QF,1169,8,2.6,2.3,13
1257,Lenovo ThinkPad 13,1499,16,2.7,1.4,1
1258,Lenovo IdeaPad 320-15ABR,597.57,6,3.6,2.2,3
1259,Asus ZenBook UX310UA-WB71,1280,8,2.5,1.45,6
1260,Acer Aspire ES1-572,361.8,4,2,2.4,5
1261,Dell Inspiron 7779,1799,16,2.7,2.77,9
1262,HP EliteBook 840,1099.99,4,2.3,1.54,8
1263,Asus Rog GL553VE-FY052T,1600,16,2.8,2.5,5
1264,Dell Latitude 5480,875,4,2.5,1.6,4
1265,Asus Rog GL502VS,2325,16,2.6,2.34,8
1266,Lenovo V510-15IKB (i5-7200U/8GB/256GB/FHD/No,573,8,2.5,2.3,5
1267,Dell XPS 13,1813,8,1.2,1.24,10
1268,Dell Inspiron 3552,324,4,1.6,2.2,7
1269,HP 255 G6,399,4,2.5,1.86,4
1270,Lenovo IdeaPad 310-15ISK,569,6,2.3,2.4,6
1271,Lenovo ThinkPad L460,1072,8,2.3,1.9,8
1272,Dell Inspiron 3552,443.99,4,1.6,2.2,10
1273,Asus X541NA-GO020T (N3350/4GB/1TB/W10),339,4,1.1,2,9
1274,Asus Rog G752VT-GC073T,1900,16,2.6,4,11
1275,Dell Vostro 3568,490,4,2,2.29,17
1276,Lenovo B51-80 (i7-6500U/8GB/1008GB/Radeon,895,8,2.5,2.32,15
1277,MSI GE62 Apache,1229,8,2.6,2.4,14
1278,Lenovo Yoga 500-14IBD,833.01,4,2.3,1.8,5
1279,Asus ZenBook UX305CA-UBM1,729,8,0.9,1.2,1
1280,Dell Inspiron 3567,459,6,2.4,2.3,3
1281,Acer Aspire ES1-531,289,4,1.6,2.4,5
1282,Dell Inspiron 3552,379,2,1.6,2.2,9
1283,Lenovo IdeaPad Y700-15ISK,899,8,2.6,2.6,13
1284,HP Pavilion 15-AW003nv,549.99,6,2.9,2.04,1
1285,Dell Inspiron 3567,805.99,8,2.7,2.3,10
1286,HP Stream 11-Y000na,209,2,1.6,1.17,1
1287,Asus X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,720.32,4,2.5,2.2,17
1288,Lenovo Yoga 500-14ISK,638,4,2.5,1.8,3
1289,Lenovo Yoga 900-13ISK,1499,16,2.5,1.3,1
1290,Lenovo IdeaPad 100S-14IBR,229,2,1.6,1.5,2
1291,HP 15-AC110nv (i7-6500U/6GB/1TB/Radeon,764,6,2.5,2.19,8
1292,Asus X553SA-XX031T (N3050/4GB/500GB/W10),369,4,1.6,2.2,8
1293,Asus ZenBook UX305CA-UBM1,729,8,0.9,1.2,1
1294,Dell Inspiron 3567,459,6,2.4,2.3,3
1295,Acer Aspire ES1-531,289,4,1.6,2.4,5
1296,Dell Inspiron 3552,379,2,1.6,2.2,9
1297,Lenovo IdeaPad Y700-15ISK,899,8,2.6,2.6,13
1298,HP Pavilion 15-AW003nv,549.99,6,2.9,2.04,1
1299,Dell Inspiron 3567,805.99,8,2.7,2.3,10
1300,HP Stream 11-Y000na,209,2,1.6,1.17,1
1301,Asus X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,720.32,4,2.5,2.2,17
1302,Lenovo Yoga 500-14ISK,638,4,2.5,1.8,3
1303,Lenovo Yoga 900-13ISK,1499,16,2.5,1.3,1
1304,Lenovo IdeaPad 100S-14IBR,229,2,1.6,1.5,2
1305,HP 15-AC110nv (i7-6500U/6GB/1TB/Radeon,764,6,2.5,2.19,8
1306,Asus X553SA-XX031T (N3050/4GB/500GB/W10),369,4,1.6,2.2,8
1307,Asus ZenBook UX305CA-UBM1,729,8,0.9,1.2,1
1308,Dell Inspiron 3567,459,6,2.4,2.3,3
1309,Acer Aspire ES1-531,289,4,1.6,2.4,5
1310,Dell Inspiron 3552,379,2,1.6,2.2,9
1311,Lenovo IdeaPad Y700-15ISK,899,8,2.6,2.6,13
1312,HP Pavilion 15-AW003nv,549.99,6,2.9,2.04,1
1313,Dell Inspiron 3567,805.99,8,2.7,2.3,10
1314,HP Stream 11-Y000na,209,2,1.6,1.17,1
1315,Asus X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,720.32,4,2.5,2.2,17
1316,Lenovo Yoga 500-14ISK,638,4,2.5,1.8,3
1317,Lenovo Yoga 900-13ISK,1499,16,2.5,1.3,1
